Participant ID,Age,Ethnicity,Race (select one or more choices),Self-Identified Gender,What is your education level,Do you wear glasses,If Yes to the above question: do you wear them only for reading,Do you wear contacts,How often do you play video games,What type of video games do you play,How frequently do you use a VR device,Do you own a VR device,If yes to the above question: list the VR devices you use,How frequently do you use telehealth services,What type of services have you used
874GE,20,2,2,Male,1,2,,2,2,,,2,,5,
6FERM,19,2,2,Male,2,2,,2,3,Player unknown battle ground,5,2,,5,
K8VKZ,25,2,2,Female,7,2,,2,5,,5,2,,5,
GR7GM,35,2,5,Male,6,1,2,2,3,"Strategy, Role Playing, Action",2,1,"Valve Index, Meta Oculus 2, Meta Oculus 3",3,Telehealth general practitioner and telehealth counseling.
D7DLR,22,2,5,Female,3,1,2,1,2,"fps, adventure, puzzle, farming ",4,2,,3,Telehealth for psychiatrist appointments
0GR0B,25,2,2,Male,3,1,2,2,4,"role play based like GTA, arcade games, and war type",5,2,,5,
57GEO,21,2,2,Female ,7,1,2,2,4,survival games ,4,2,,3,Vet services
GFD02,21,2,2,Female,7,2,,2,4,Anything my brother suggests,5,2,,5,
7Q5SI,25,2,2,female,3,2,,2,3,"puzzles, mystery solving etc",5,2,,5,
C9KBG,20,2,5,Male,2,2,,2,3,"Action, Adventure",4,2,,3,"Fitness tracker app, health insurance app"
H2IIY,27,2,2,Male,7,2,,2,4,"Action, Racing",4,1,Cardboard,5,
7MEOE,22,2,5,Male,3,2,,2,3,RPGs,5,2,,4,Virtual doctor meetings
POPC4,25,2,2,male,3,2,,2,3,pubG,4,2,,4,Currently new to the telehealth system
1BX2A,22,2,2,male,3,2,,2,2,Racing,3,2,,4,Rarely telehealth
858OK,26,2,2,Female,7,1,1,2,4,mobile linked ,5,2,,5,
Z3TFO,26,2,2,Female,3,1,2,2,3,"Mobile games, Xbox",5,2,,4,consultation with family doctors for mild symptoms
H75VY,25,2,2,Male,7,2,,2,2,"PC console games such as GTA V, etc",5,2,,5,
CHOBY,25,2,5,Male,2,2,,2,1,Typically strategy games like stellaris or industry games like factorio/satisfactory. Almost every day I play a couple hours of VRChat before going to sleep.,1,1,"Oculus Rift, It has served me faithfully for 5 years, despite the headphone parts failing (I took them off now wear regular headphones overtop of it), and controller stick drift issues.",5,
F483S,20,2,2,Male,2,1,2,2,2,"Adventure, First Person Shooter (FPS), Racing, Action",4,2,,3,Video Calling and Texting
DZDMH,27,2,2,Male,2,2,,2,1,"League of Legends, Starcraft2, Valheim",5,2,,4,AI Chat
IX4SL,21,2,5,Male,2,2,,2,2,"Casual, first-person",2,1,"Quest 3, Windows mixed reality (RIP)",4,K-health diagnosis assistant
CUZPT,22,2,2,Male,2,1,2,2,4,Mobile,4,2,,4,"Making appointment
"
ZU2PA,20,2,5,Male,2,2,,2,1,"First person shooter, Murder Mystery, Party games, Fighting games.",4,1,Oculus Quest 2,4,Voice/Video call for Therapy
OSPOJ,21,2,"2,5",Male,2,1,2,1,3,Grand Strategy Games and FPS and RTS games mainly,3,1,Oculus Quest 2,4,Therapy Appointments
I7NPK,22,2,5,Male,3,1,2,2,1,first person,5,2,,5,
SN6KG,21,2,3,male,2,1,2,2,3,,5,2,,3,mychart
W44U7,28,2,2,Male,3,2,,2,3,"FIFA,PES",5,2,,5,
C2466,20,2,2,female,3,1,1,2,4,,5,2,,4,
8F4IJ,18,2,5,Male,2,2,,2,3,Shooters and open world games.,3,1,Meta Quest 2,4,Calling the doctor's office to schedule appointments.
FFB9O,26,2,2,Male,3,1,2,2,2,"Console based games like fifa, wwe, etc",4,2,,5,
