Participant ID,I need the easiest way around problems; I can’t stand making a hard time of it,I can’t stand having to wait for things I would like now,I must be free of disturbing feelings as quickly as possible; I can’t bear if they continue,I can’t stand being prevented from achieving,I can’t stand doing tasks that seem too difficult,I can’t stand it if other people act against my wishes,I can’t bear to feel that I am losing my mind,I can’t bear the frustration of not achieving my goals,I can’t stand doing tasks when I’m not in the mood,I can’t bear it if other people stand in the way of what I want,I can’t bear to have certain thoughts,I can’t tolerate lowering my standards even when it would be useful to do so,I can’t stand having to push myself at tasks,I can’t tolerate being taken for granted,I can’t stand situations where I might feel upset,I can’t bear to move on from work I’m not fully satisfied with,I can’t stand the hassle of having to do things right now,I can’t stand having to give in to other people’s demands,I can’t bear disturbing feelings,I can’t stand doing a job if I’m unable to do it well,I can’t stand doing things that involve a lot of hassle,I can’t stand having to change when others are at fault,"I can’t get on with my life, or be happy, if things don’t change",I can’t stand feeling that I’m not on top of my work,I can’t stand having to persist at unpleasant tasks,I can’t tolerate criticism especially when I know I’m right,I can’t stand to lose control of my feelings,I can’t tolerate any lapse in my self-discipline,I can’t tolerate being overlooked,I can’t bear to have been treated unjustly
874GE,Mild,Absent,Absent,Absent,Absent,Mild,Mild,Mild,Strong,Mild,Mild,Mild,Mild,Moderate,Moderate,Strong,Mild,Absent,Mild,Absent,Mild,Mild,Moderate,Strong,Moderate,Very Strong,Mild,Moderate,Mild,Moderate
6FERM,Absent,Mild,Absent,Mild,Mild,Mild,Absent,Absent,Mild,Mild,Mild,Moderate,Absent,Moderate,Mild,Mild,Moderate,Mild,Mild,Moderate,Mild,Mild,Strong,Strong,Strong,Strong,Moderate,Moderate,Strong,Mild
K8VKZ,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Strong,Very Strong,Absent,Very Strong,Absent,Absent,Absent,Absent,Absent,Very Strong,Absent,Very Strong,Very Strong,Very Strong,Absent,Very Strong,Very Strong,Very Strong
GR7GM,Absent,Mild,Mild,Strong,Mild,Strong,Very Strong,Strong,Mild,Moderate,Mild,Mild,Mild,Strong,Moderate,Strong,Mild,Mild,Mild,Strong,Mild,Moderate,Strong,Strong,Mild,Mild,Strong,Strong,Strong,Moderate
D7DLR,Absent,Moderate,Absent,Moderate,Absent,Moderate,Absent,Moderate,Mild,Mild,Absent,Absent,Absent,Mild,Absent,Moderate,Absent,Absent,Mild,Moderate,Absent,Mild,Absent,Moderate,Mild,Mild,Mild,Mild,Mild,Moderate
0GR0B,Absent,Absent,Moderate,Strong,Mild,Absent,Absent,Very Strong,Mild,Absent,Strong,Absent,Absent,Strong,Mild,Absent,Absent,Mild,Moderate,Mild,Absent,Absent,Mild,Mild,Absent,Strong,Mild,Very Strong,Moderate,Strong
57GEO,Moderate,Moderate,Mild,Very Strong,Strong,Mild,Moderate,Very Strong,Moderate,Very Strong,Moderate,Mild,Strong,Very Strong,Moderate,Very Strong,Absent,Strong,Moderate,Very Strong,Mild,Very Strong,Moderate,Very Strong,Mild,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong
GFD02,Very Strong,Mild,Strong,Strong,Strong,Moderate,Strong,Very Strong,Moderate,Moderate,Moderate,Strong,Mild,Mild,Moderate,Strong,Strong,Moderate,Strong,Strong,Strong,Strong,Mild,Moderate,Moderate,Moderate,Strong,Moderate,Moderate,Strong
7Q5SI,Moderate,Mild,Strong,Strong,Moderate,Mild,Strong,Moderate,Moderate,Strong,Strong,Strong,Mild,Very Strong,Moderate,Mild,Strong,Moderate,Strong,Moderate,Moderate,Strong,Strong,Mild,Strong,Very Strong,Very Strong,Strong,Strong,Very Strong
C9KBG,Absent,Absent,Absent,Moderate,Absent,Absent,Absent,Mild,Absent,Mild,Absent,Absent,Absent,Mild,Absent,Mild,Absent,Moderate,Absent,Absent,Absent,Absent,Mild,Absent,Absent,Absent,Absent,Mild,Absent,Mild
