Timestamp(ns),GameTime,ObjectName,HitPosition
18379416500,18.42423,receptionist,"(-5.1317, 1.9448, 6.2016)"
18393764300,18.4398,standing_white_male_40,"(-2.2439, 1.7866, 6.6739)"
18409032000,18.45432,standing_white_male_40,"(-2.2442, 1.7882, 6.6745)"
18421547700,18.46734,standing_white_male_40,"(-2.2443, 1.7926, 6.6750)"
18434688800,18.48051,standing_white_male_40,"(-2.2443, 1.7977, 6.6749)"
18448564000,18.49462,standing_white_male_40,"(-2.2441, 1.8032, 6.6742)"
18462690900,18.5084,standing_white_male_40,"(-2.2436, 1.8072, 6.6728)"
18476691300,18.52249,standing_white_male_40,"(-2.2432, 1.8084, 6.6715)"
18489658000,18.53588,standing_white_male_40,"(-2.2428, 1.8071, 6.6702)"
18503745700,18.5495,standing_white_male_40,"(-2.2423, 1.8034, 6.6689)"
18518096700,18.56384,standing_white_male_40,"(-2.2418, 1.7988, 6.6673)"
18531277800,18.57749,standing_white_male_40,"(-2.2414, 1.7953, 6.6658)"
18546005800,18.59176,standing_white_male_40,"(-2.2408, 1.7930, 6.6644)"
18559459400,18.60522,standing_white_male_40,"(-2.2405, 1.7906, 6.6633)"
18573485700,18.6196,standing_white_male_40,"(-2.2404, 1.7886, 6.6623)"
18587675600,18.63333,standing_white_male_40,"(-2.2400, 1.7871, 6.6616)"
18601977700,18.64783,standing_white_male_40,"(-2.2400, 1.7882, 6.6611)"
18615531800,18.66128,standing_white_male_40,"(-2.2398, 1.7916, 6.6608)"
18629098400,18.67525,standing_white_male_40,"(-2.2397, 1.7974, 6.6604)"
18643139800,18.68893,standing_white_male_40,"(-2.2398, 1.8036, 6.6600)"
18656787900,18.70266,standing_white_male_40,"(-2.2395, 1.8095, 6.6593)"
18670620600,18.71692,standing_white_male_40,"(-2.2393, 1.8145, 6.6584)"
18684946500,18.73068,standing_white_male_40,"(-2.2390, 1.8189, 6.6572)"
18698546400,18.74433,standing_white_male_40,"(-2.2385, 1.8227, 6.6557)"
18712009300,18.75828,standing_white_male_40,"(-2.2381, 1.8261, 6.6542)"
18726623600,18.77238,standing_white_male_40,"(-2.2377, 1.8286, 6.6525)"
18740282400,18.78611,standing_white_male_40,"(-2.2371, 1.8303, 6.6509)"
18753723200,18.79998,standing_white_male_40,"(-2.2366, 1.8311, 6.6492)"
18767981700,18.81382,standing_white_male_40,"(-2.2362, 1.8318, 6.6474)"
18781933400,18.82782,standing_white_male_40,"(-2.2356, 1.8330, 6.6458)"
18796489900,18.84229,standing_white_male_40,"(-2.2352, 1.8351, 6.6444)"
18809529800,18.85583,standing_white_male_40,"(-2.2348, 1.8371, 6.6428)"
18823752100,18.86958,standing_white_male_40,"(-2.2344, 1.8390, 6.6412)"
18837973200,18.88384,standing_white_male_40,"(-2.2339, 1.8402, 6.6397)"
18851725700,18.89796,standing_white_male_40,"(-2.2336, 1.8408, 6.6386)"
